Timestamp,Image_Path,Latitude,Longitude,Detection_Type,Confidence
2025-10-12 12:32:48,Dataset/pothole/pothole_1.jpg,-37.822402,144.973605,pothole,0.72
2025-09-11 11:38:32,Dataset/pothole/pothole_100.jpg,-37.774558,144.981447,pothole,0.81
2025-10-25 23:15:58,Dataset/pothole/pothole_1000.jpg,-37.89921,145.029406,pothole,0.92
2025-09-06 19:34:14,Dataset/pothole/pothole_1002.jpg,-37.791639,144.944591,pothole,0.68
2025-10-25 20:08:14,Dataset/pothole/pothole_1004.jpg,-37.86485,144.879331,pothole,0.51
2025-11-15 14:31:17,Dataset/pothole/pothole_1005.jpg,-37.883685,144.959447,pothole,0.72
2025-10-25 03:39:01,Dataset/pothole/pothole_1006.jpg,-37.75329,145.010954,pothole,0.68
2025-11-07 17:15:06,Dataset/pothole/pothole_1007.jpg,-37.805552,144.982274,pothole,0.65
2025-09-19 09:05:24,Dataset/pothole/pothole_1008.jpg,-37.768693,145.033473,pothole,0.94
2025-09-28 13:41:44,Dataset/pothole/pothole_1009.jpg,-37.891112,144.977073,pothole,0.79
2025-08-24 22:52:15,Dataset/pothole/pothole_1011.jpg,-37.89218,144.877499,pothole,0.83
2025-09-06 06:55:11,Dataset/pothole/pothole_1012.jpg,-37.782799,144.922616,pothole,0.54
2025-09-16 09:55:15,Dataset/pothole/pothole_1013.jpg,-37.837269,145.034922,pothole,0.42
2025-09-14 11:58:58,Dataset/pothole/pothole_1014.jpg,-37.803668,144.870011,pothole,0.82
2025-09-08 14:54:37,Dataset/pothole/pothole_1015.jpg,-37.903068,144.937959,pothole,0.7
2025-11-19 15:44:04,Dataset/pothole/pothole_1016.jpg,-37.893415,144.91867,pothole,0.76
2025-10-16 13:10:18,Dataset/pothole/pothole_1017.jpg,-37.835612,144.922998,pothole,0.8
2025-10-04 11:38:44,Dataset/pothole/pothole_1018.jpg,-37.79732,144.884083,pothole,0.81
2025-09-19 14:13:50,Dataset/pothole/pothole_102.jpg,-37.864508,145.028979,pothole,0.63
2025-09-24 05:52:10,Dataset/pothole/pothole_1020.jpg,-37.768375,145.034655,pothole,0.68
2025-09-10 21:42:17,Dataset/pothole/pothole_1021.jpg,-37.851107,144.902492,pothole,0.71
2025-10-07 23:09:42,Dataset/pothole/pothole_1022.jpg,-37.891485,144.994633,pothole,0.63
2025-11-14 15:18:38,Dataset/pothole/pothole_1023.jpg,-37.776031,145.044923,pothole,0.42
